10/11/2020 08:00,Livingston,Marilaine Castro," Speciality Tea - Camomile - 1.30,  Frappes - Chocolate Cookie - 2.75",4.05,CARD,6980561863473
10/11/2020 08:02,Livingston,Luukas Makela," Flavoured iced latte - Caramel - 2.75,  Frappes - Coffee - 2.75,  Speciality Tea - Darjeeling - 1.30,  Smoothies - Glowing Greens - 2.00",8.80,CASH,
10/11/2020 08:05,Livingston,Ramona Adams," Frappes - Chocolate Cookie - 2.75",2.75,CARD,7874408623418262
10/11/2020 08:07,Livingston,Corentin Durand,"Large Flavoured latte - Hazelnut - 2.85",2.85,CARD,6011197354094480
10/11/2020 08:10,Livingston,Alvilde Amble,"Regular Flavoured latte - Gingerbread - 2.55, Regular Latte - 2.15,  Flavoured iced latte - Vanilla - 2.75,  Cortado - 2.05,  Smoothies - Carrot Kick - 2.00",11.50,CASH,
10/11/2020 08:12,Livingston,Noah Wilson," Smoothies - Berry Beautiful - 2.00",2.00,CASH,
10/11/2020 08:15,Livingston,Summer Walker," Speciality Tea - Camomile - 1.30,  Speciality Tea - Fruit - 1.30",2.60,CARD,722226186851303
10/11/2020 08:17,Livingston,Samuel Wainio," Speciality Tea - English breakfast - 1.30,  Smoothies - Berry Beautiful - 2.00,  Glass of milk - 0.70",4.00,CARD,38062860365889595
10/11/2020 08:20,Livingston,Anne Marchand," Speciality Tea - English breakfast - 1.30,  Mocha - 2.30,  Flavoured iced latte - Hazelnut - 2.75,  Flavoured iced latte - Vanilla - 2.75,  Speciality Tea - Peppermint - 1.30",10.40,CARD,5944067115254140
10/11/2020 08:22,Livingston,Aria Singh," Flat white - 2.15",2.15,CARD,0288828033382716
10/11/2020 08:25,Livingston,Rene Fleming,"Large Flavoured hot chocolate - Vanilla - 2.90,  Frappes - Coffee - 2.75,  Red label tea - 1.20,  Cortado - 2.05",8.90,CASH,
10/11/2020 08:27,Livingston,Austin Turner," Speciality Tea - Peppermint - 1.30",1.30,CARD,5409401805287445
10/11/2020 08:30,Livingston,John Evans," Mocha - 2.30",2.30,CARD,6011877099806028
10/11/2020 08:32,Livingston,Villads Andersen," Speciality Tea - Peppermint - 1.30,  Red label tea - 1.20, Large Cappuccino - 2.45",4.95,CASH,
10/11/2020 08:35,Livingston,Sofia Hietala," Smoothies - Glowing Greens - 2.00",2.00,CARD,8777858450960170
10/11/2020 08:37,Livingston,Isabella Knight," Smoothies - Carrot Kick - 2.00,  Flavoured iced latte - Hazelnut - 2.75, Large Luxury hot chocolate - 2.70,  Frappes - Chocolate Cookie - 2.75,  Speciality Tea - English breakfast - 1.30",11.50,CASH,
10/11/2020 08:40,Livingston,Eelis Koskinen,"Large Latte - 2.45",2.45,CARD,7146254055681927
10/11/2020 08:42,Livingston,Marlene Bell," Smoothies - Glowing Greens - 2.00",2.00,CARD,7233759559999552
10/11/2020 08:45,Livingston,Sophia Patel," Smoothies - Glowing Greens - 2.00,  Flavoured iced latte - Vanilla - 2.75,  Glass of milk - 0.70,  Frappes - Coffee - 2.75,  Speciality Tea - Peppermint - 1.30",9.50,CARD,301217688178316
10/11/2020 08:47,Livingston,Allie Duncan," Speciality Tea - Green - 1.30",1.30,CARD,2255226400152754
10/11/2020 08:50,Livingston,Jason Jordan,"Large Luxury hot chocolate - 2.70,  Speciality Tea - Earl Grey - 1.30",4.00,CARD,3680146760682954
10/11/2020 08:52,Livingston,Maddison Wilson,"Large Luxury hot chocolate - 2.70,  Speciality Tea - Earl Grey - 1.30, Large Luxury hot chocolate - 2.70,  Mocha - 2.30,  Babyccino - 0.00",9.00,CARD,6016910512895368
10/11/2020 08:55,Livingston,Gesa Aydin," Red label tea - 1.20,  Red label tea - 1.20,  Red label tea - 1.20, Regular Luxury hot chocolate - 2.40",6.00,CASH,
10/11/2020 08:57,Livingston,Rachel Pauli,"Large Flavoured latte - Gingerbread - 2.85,  Flavoured iced latte - Hazelnut - 2.75,  Speciality Tea - Peppermint - 1.30",6.90,CARD,796636027103491
